"gender","type","year","y","wr"
"men","200m backstroke SCM",2012,1.84365781710914,1.89340149578718
"men","200m backstroke SCM",2013,1.85821796896776,1.89340149578718
"men","200m backstroke SCM",2014,1.86254423542559,1.89340149578718
"men","200m backstroke SCM",2015,1.89340149578718,1.89340149578718
"men","200m backstroke SCM",2016,1.86202402010986,1.89340149578718
"men","200m backstroke SCM",2017,1.85150897981855,1.89340149578718
"men","200m backstroke SCM",2018,1.86880956830499,1.89340149578718
"men","200m backstroke SCM",2019,1.83806635419539,1.89340149578718
"men","200m backstroke SCM",2020,1.88022938798533,1.89340149578718
"men","200m backstroke SCM",2021,1.85391175380052,1.89340149578718
"men","200m backstroke SCM",2022,1.86202402010986,1.89340149578718
"men","200m backstroke SCM",2023,1.844507977497,1.89340149578718
"men","200m backstroke SCM",2024,1.89304306672977,1.89340149578718
"men","200m breaststroke LCM",2000,1.52823412546802,1.5938795027096
"men","200m breaststroke LCM",2001,1.53033897008187,1.5938795027096
"men","200m breaststroke LCM",2002,1.53881664999615,1.5938795027096
"men","200m breaststroke LCM",2003,1.54535620460516,1.5938795027096
"men","200m breaststroke LCM",2004,1.54990700557967,1.5938795027096
"men","200m breaststroke LCM",2005,1.54023873700424,1.5938795027096
"men","200m breaststroke LCM",2006,1.55642023346304,1.5938795027096
"men","200m breaststroke LCM",2007,1.54083204930663,1.5938795027096
"men","200m breaststroke LCM",2008,1.56850443102502,1.5938795027096
"men","200m breaststroke LCM",2009,1.57096850208153,1.5938795027096
"men","200m breaststroke LCM",2010,1.5581177937052,1.5938795027096
"men","200m breaststroke LCM",2011,1.55945419103314,1.5938795027096
"men","200m breaststroke LCM",2012,1.57467915912133,1.5938795027096
"men","200m breaststroke LCM",2013,1.57195629961487,1.5938795027096
"men","200m breaststroke LCM",2014,1.57109190887667,1.5938795027096
"men","200m breaststroke LCM",2015,1.56543519098309,1.5938795027096
"men","200m breaststroke LCM",2016,1.57269796335614,1.5938795027096
"men","200m breaststroke LCM",2017,1.57890581826794,1.5938795027096
"men","200m breaststroke LCM",2018,1.57728706624606,1.5938795027096
"men","200m breaststroke LCM",2019,1.58579130986362,1.5938795027096
